GEOID,population
060750479031,827
060750479032,2152
060750479033,1002
060750479041,2132
060750479042,1013
060750601001,2425
060750601002,1527
060750604001,1187
060750604002,679
060750605021,1024
060750605022,683
060750605023,1654
060750607011,1060
060750607012,4940
060750607013,1879
060750607021,1945
060750607031,2357
060750607032,1152
060750607033,2747
060750610001,1952
060750610002,2011
060750610003,927
060750611011,744
060750611012,1117
060750611021,867
060750611022,1526
060750612001,943
060750612002,1205
060750612003,1858
060750614011,890
060750614012,712
060750614013,1387
060750614021,1661
060750614022,670
060750615011,664
060750615012,694
060750615013,298
060750615021,997
060750615022,904
060750615031,2048
060750615032,603
060750615033,554
060750615041,917
060750615042,650
060750615051,1061
060750615061,2293
060750615062,972
060750615063,1276
060750615071,1772
060750615072,0
060750615081,957
060750615082,766
060750615083,499
060759802001,186
060759803001,38
060759804011,0
060759805011,129
060759806001,1172
060759809001,315
060759901000,0
060759902000,0
