date,tavg,tmin,tmax,prcp,temp_range,day,is_rainy,is_hot
2025-10-21,17.7,15.6,21.7,0.0,6.1,Salı,0,0
2025-10-22,15.8,15.0,17.3,0.0,2.3000000000000007,Çarşamba,0,0
2025-10-23,15.2,13.9,16.8,2.6,2.9000000000000004,Perşembe,1,0
2025-10-24,15.4,14.4,16.4,0.4,1.9999999999999982,Cuma,1,0
2025-10-25,15.9,15.2,16.4,0.0,1.1999999999999993,Cumartesi,0,0
2025-10-26,14.9,14.1,15.8,1.9,1.700000000000001,Pazar,1,0
2025-10-27,15.5,13.2,18.9,0.0,5.699999999999999,Pazartesi,0,0
