objectid,stopname,trapezestopabbr,stopid,latitude,longitude,atstreet,onstreet,shelter,insert_timestamp,sde_id,signupid,supervisor_district,shape,data_as_of,data_loaded_at,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,rucusstopabbr,position,orientation,serviceplanningstoptype,accessibilitymask,stop_lat,stop_lon,GEOID
77140,Fulton St&8TH Ave SE-FS/BZ,FULT 8A1,4735,37.773317999999996,-122.465739,8TH AVE,FULTON ST,0,1739804614000,16047493,148,1,"{'type': 'Point', 'coordinates': [-122.465739, 37.773318]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,8,4,12,9,9,FULT 8AV,FS,SE,BZ,,37.773317999999996,-122.465739,060759803001
78983,Holloway Ave&Junipero Serra NW-FS,HOLLJ S1,5036,37.721592,-122.472954,JUNIPERO SERRA BLVD,HOLLOWAY AVE,0,1739804614000,16050636,148,7,"{'type': 'Point', 'coordinates': [-122.472954, 37.721592]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,10,8,41,41,41,HOLLJ S,FS,NW,,,37.721592,-122.472954,060750309007
76918,Fulton St&Park Presidio Blvd SE-FS/BZ,FULTPKP1,4232,37.773067,-122.471699,PARK PRESIDIO BLVD,FULTON ST,0,1739804614000,16046801,148,1,"{'type': 'Point', 'coordinates': [-122.471699, 37.773067]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,8,4,12,9,9,FULTPKPR,FS,SE,BZ,,37.773067,-122.471699,060759803001
76562,Cortland Ave&Andover St SW-NS/BZ,CORTAND0,4143,37.739039999999996,-122.41658,ANDOVER ST,CORTLAND AVE,1,1739804614000,16046272,148,9,"{'type': 'Point', 'coordinates': [-122.41658, 37.73904]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,9,2,2,61,61,CORTANDV,NS,SW,BZ,,37.739039999999996,-122.41658,060750254012
78250,513 Parnassus UCSF Parnassus SW-NS/BZ,PARN513,7688,37.763298999999996,-122.458208,03RD AVE,PARNASSUS AVE,0,1739804614000,16056054,148,7,"{'type': 'Point', 'coordinates': [-122.458208, 37.763299]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,7,8,14,110,110,,,,,,37.763298999999996,-122.458208,060750301023
78085,455 Warren Dr E-MB/SB,WARNH451,6910,37.757722,-122.461897,,WARREN DR,0,1739804614000,16051320,148,7,"{'type': 'Point', 'coordinates': [-122.461897, 37.757722]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,7,8,14,111,111,WARNH455,MB,EA,,,37.757722,-122.461897,060750301023
76547,California St&Jones St N-MI,CALIJON0,3869,37.791472,-122.414121,JONES ST,CALIFORNIA ST,0,1739804614000,16046203,148,3,"{'type': 'Point', 'coordinates': [-122.414121, 37.791472]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,6,3,21,16,16,CALIJONE,MI,NO,,,37.791472,-122.414121,060750112002
76486,Cyril Magnin St(5th St N)&Market St NW-NS/BZ,5STNMRK0,3612,37.784011,-122.40821,MARKET ST,5TH ST NORTH,0,1739804614000,16046034,148,3,"{'type': 'Point', 'coordinates': [-122.40821, 37.784011]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,5,10,36,19,19,5STNMRKT,NS,NW,BZ,,37.784011,-122.40821,060750125031
78486,Bryant St&16TH St SE-NS/BZ,BRYT16S1,3730,37.76549,-122.41040000000001,16TH ST,BRYANT ST,0,1739804614000,16051748,148,9,"{'type': 'Point', 'coordinates': [-122.4104, 37.76549]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,3,9,20,53,53,BRYT16ST,NS,SE,BZ,,37.76549,-122.41040000000001,060750177001
77216,Mason St&Green St E-MI,MASNGRE0,5362,37.7991,-122.412203,GREEN ST,MASON ST,0,1739804614000,16048052,148,3,"{'type': 'Point', 'coordinates': [-122.412203, 37.7991]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,6,3,6,107,107,MASNGREN,MI,EA,,,37.7991,-122.412203,060750107022
79356,Sutter St&Buchanan St SE-FS/BZ,SUTTBUC1,6588,37.786502,-122.429608,BUCHANAN ST,SUTTER ST,0,1739804614000,16051019,148,5,"{'type': 'Point', 'coordinates': [-122.429608, 37.786502]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,4,11,15,101,101,SUTTBUCH,FS,SE,BZ,,37.786502,-122.429608,060750155004
78397,Union St&Taylor St NE-NS,UNINTAY0,6783,37.799895,-122.414025,TAYLOR ST,UNION ST,0,1739804614000,16051657,148,3,"{'type': 'Point', 'coordinates': [-122.414025, 37.799895]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,6,3,32,107,107,UNINTAYL,NS,NE,,,37.799895,-122.414025,060750103002
77718,Hyde St&Grove St W-MB/BZ,HYDEGROV,5071,37.779346,-122.41515799999999,FULTON ST,HYDE ST,0,1739804614000,16050309,148,5,"{'type': 'Point', 'coordinates': [-122.415158, 37.779346]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,5,10,36,21,21,HYDEFULT,MB,W,BZ,,37.779346,-122.41515799999999,060750124051
77359,Haight St&Pierce St NW-FS/BZ,HAITPIE0,4960,37.771721,-122.434038,PIERCE ST,HAIGHT ST,0,1739804614000,16048201,148,5,"{'type': 'Point', 'coordinates': [-122.434038, 37.771721]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,4,11,3,26,26,HAITPIER,NS,NE,BZ,,37.771721,-122.434038,060750167001
78033,Geary Blvd&Baker St NW-FS/BZ,GEARBAK0,4289,37.782973,-122.442965,BAKER ST,GEARY BLVD,0,1739804614000,16055836,148,2,"{'type': 'Point', 'coordinates': [-122.442965, 37.782973]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,8,6,31,103,103,GEARBAKR,FS,NW,BZ,,37.782973,-122.442965,060750154011
78331,Mission Bay North & 3rd St N-MB/BZ,MBNO.3ST,7765,37.771146,-122.389936,04TH ST,MISSION BAY BLVD,0,1739804614000,16056347,148,6,"{'type': 'Point', 'coordinates': [-122.389936, 37.771146]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,1,10,4,34,34,,,,,,37.771146,-122.389936,060750607012
78224,Sunset Blvd&Vicente St SW-FS/SB,SUNSVCT0,6559,37.738244,-122.494337,VICENTE ST,SUNSET BLVD,0,1739804614000,16052969,148,4,"{'type': 'Point', 'coordinates': [-122.494337, 37.738244]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,10,7,35,40,40,SUNSVCTE,FS,SW,,,37.738244,-122.494337,060750353003
77771,Burnett Ave&Crestline Dr W-FS/SB,BRNTCRST,3712,37.749120999999995,-122.44493800000001,CRESTLINE DR,BURNETT AVE,0,1739804614000,16052528,148,8,"{'type': 'Point', 'coordinates': [-122.444938, 37.749121]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,7,5,38,48,48,BRNTCRST,FS,WE,,,37.749120999999995,-122.44493800000001,060750204021
77921,North Point St&Polk St NW-FS/BZ,N.PTPOL0,5468,37.805313,-122.423987,POLK ST,NORTH POINT ST,0,1739804614000,16052701,148,2,"{'type': 'Point', 'coordinates': [-122.423987, 37.805313]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,6,6,32,98,98,N.PTPOLK,FS,NW,BZ,,37.805313,-122.423987,060750102022
