id,lat,lon,poi_category,poi_subcategory,poi_name,GEOID
61675193,37.7721282,-122.4227728,amenity,bar,Martuni's,060750202021
61690921,37.7969638,-122.4056426,amenity,bar,Comstock Saloon,060750611011
281652642,37.7595434,-122.4141826,amenity,school,John O'Connell High School,060750228013
286898816,37.7473791,-122.4138441,amenity,school,Saint Anthony - Immaculate Conception,060750252001
293573361,37.7923271,-122.4346848,amenity,cafe,Blue Bottle,060750135001
293632937,37.7767776,-122.3940709,shop,supermarket,Safeway,060750607031
317081666,37.7862572,-122.4086732,amenity,bar,John Foley's Dueling Piano Bar,060750123013
317124812,37.7795947,-122.3951729,amenity,cafe,Brickhouse Cafe and Bar,060750180001
317129230,37.7769117,-122.393795,amenity,bank,Wells Fargo,060750607031
331389010,37.7986732,-122.4072962,amenity,cafe,Caffe Trieste,060750106003
332730973,37.786217,-122.453191,amenity,cafe,Starbucks,060750154021
332730993,37.7866119,-122.4504574,amenity,cafe,Peet's Coffee,060750154021
332787306,37.786265,-122.4528047,shop,supermarket,Calmart,060750154021
332787308,37.7870938,-122.4563869,amenity,cafe,Picnix Bistro,060750133005
334973993,37.7994006,-122.4086568,amenity,bank,BMO,060750106003
335443049,37.7935766,-122.403101,amenity,bank,Citibank,060750117002
335444374,37.7908279,-122.4025161,amenity,cafe,Peet's Coffee,060750117004
335444675,37.7899212,-122.402012,amenity,bank,Union Bank of California,060750117004
340235848,37.7887072,-122.401768,amenity,bank,Bank of America,060750615013
351963628,37.7866169,-122.414982,amenity,cafe,Angel Cafe & Deli,060750122043
358761032,37.7802073,-122.4463603,amenity,school,Anza School,060750157021
358762994,37.7106428,-122.4006765,amenity,school,Candlestick Cove School,060750610001
358764041,37.7246535,-122.417749,amenity,place_of_worship,Convent of the Good Shepherd,060750259001
358766258,37.7349307,-122.4008042,amenity,school,Fremont School,060750230012
358766262,37.7774296,-122.4410824,amenity,school,Fremont School,060750158022
358766707,37.792429,-122.4255268,amenity,school,Gough School,060750131012
358766787,37.7924291,-122.4444159,amenity,school,Grant School,060750132002
358766976,37.7101499,-122.4340763,amenity,school,Guadalupe Elementary School,060750263022
358767935,37.7304863,-122.379415,amenity,school,Hunters Point Number Two School,060750231032
358768537,37.7369365,-122.4215447,amenity,school,Junipero Serra Elementary School,060750254013
358769656,37.7749296,-122.4341379,amenity,school,Lombard School,060750164003
358769706,37.7104876,-122.4471941,amenity,school,Longfellow Elementary School,060750263032
358770978,37.7254741,-122.4302537,amenity,school,Monroe Elementary School,060750260011
358771812,37.7570398,-122.4126788,amenity,school,George Moscone Elementary,060750228031
358772496,37.7365975,-122.4133043,amenity,school,Paul Revere Elementary School,060750254022
358803209,37.7704381,-122.4226263,amenity,place_of_worship,San Francisco Baha'i Center,060750202021
358803214,37.7747236,-122.4414678,amenity,place_of_worship,Brahma Kumaris Meditation Center,060750165001
358803226,37.7922489,-122.4136318,amenity,school,Cathedral School for Boys,060750112002
358803230,37.7916368,-122.4139404,amenity,place_of_worship,Chapel of Grace,060750112002
358803237,37.790207,-122.4463604,amenity,place_of_worship,Church of the New Jerusalem,060750133001
358803242,37.79104,-122.4060821,amenity,university,Cogswell College,060750117001
358803243,37.7546523,-122.4199709,amenity,school,Collegio De La Mission,060750209004
358803269,37.7852092,-122.4232955,amenity,place_of_worship,First Unitarian Universalist Church,060750151001
358803337,37.7879847,-122.4271935,amenity,place_of_worship,Morning Star Church,060750152011
358803343,37.7931024,-122.4071833,amenity,school,Nam Kue School,060750118001
358803353,37.7780026,-122.430938,amenity,place_of_worship,Old Holy Virgin Russian Orthodox Cathedral,060750161011
358803374,37.7877204,-122.4213653,amenity,place_of_worship,Apostolic Faith Church,060750120011
358803375,37.7798212,-122.4267343,amenity,place_of_worship,Bethel African Methodist Episcopal Church,060750161021
358803384,37.7460417,-122.4380266,amenity,place_of_worship,Saint Aidans Episcopal Church,060750216003
358803458,37.7948868,-122.4325428,amenity,school,Sarah Dix Hamlin School,060750132004
358803467,37.7734042,-122.4148686,amenity,place_of_worship,Templo Calvario,060750178031
358803472,37.7882624,-122.4246934,amenity,place_of_worship,Trinity Episcopal Church,060750151003
358803485,37.7810161,-122.4141316,amenity,place_of_worship,William Taylor Methodist Church,060750124051
358803505,37.7335085,-122.3889302,amenity,place_of_worship,All Hallows Roman Catholic Church,060750612001
358803515,37.7565062,-122.5052302,amenity,place_of_worship,Assyrian Church of the East,060750352013
358803530,37.7882624,-122.4274713,amenity,school,Binet Montessori School,060750152011
358803532,37.783732,-122.4088701,amenity,language_school,Brandon College,060750125031
358803569,37.7950612,-122.4082615,amenity,place_of_worship,Chinese United Methodist Church,060750113002
358803572,37.7868736,-122.428582,amenity,place_of_worship,Christ United Presbyterian Church,060750152021
358803583,37.7546528,-122.486916,amenity,place_of_worship,Episcopal Church of the Incarnation,060750329021
358803614,37.7574305,-122.4860827,amenity,place_of_worship,Good Shepherd Lutheran Church,060750326021
358803651,37.7778136,-122.4393623,amenity,place_of_worship,Redemption Church,060750158021
358803685,37.7927068,-122.4224712,amenity,place_of_worship,Lutheran Church of the Holy Chapel,060750110012
358803731,37.7827071,-122.4244156,amenity,school,New Learning Schools,060750159001
358803734,37.7765963,-122.4410824,amenity,place_of_worship,New Strangers Home Baptist Church,060750158022
358803743,37.790653,-122.406507,amenity,school,Notre Dame Des Victoires Grammar School,060750117001
358803750,37.7911995,-122.4221469,amenity,place_of_worship,Old First Presbyterian Church,060750111011
358803754,37.7770097,-122.443557,amenity,place_of_worship,Pentecostal Temple Church of God in Christ,060750157022
358803774,37.7193763,-122.4719165,amenity,place_of_worship,Lutheran Church of Our Savior,060750313012
358803777,37.8035397,-122.4196935,amenity,place_of_worship,Norwegian Seamans Church,060750102021
358803779,37.7260424,-122.4324714,amenity,school,San Francisco Community Alternative School,060750260011
358804496,37.7756027,-122.4968419,amenity,place_of_worship,Full Life Christian Center,060750478022
358804499,37.7335418,-122.3891374,amenity,place_of_worship,Bayview Baptist Church,060750612001
358804501,37.7953978,-122.4052842,amenity,place_of_worship,Buddha's Universal Church,060750611011
358804507,37.7944211,-122.4098038,amenity,place_of_worship,Chi Sin Buddhist and Taoist Association,060750112001
