geoid,neighbor
060750353003,060750353002
060750353003,060750353004
060750353003,060750353005
060750330013,060750330011
060750330013,060750330012
060750330013,060750330022
060750330013,060750330023
060750330013,060750353003
060750354003,060750354001
060750354003,060750354004
060750354003,060750354005
060750354004,060750353005
060750354004,060750353006
060750354004,060750354002
060750354004,060750354003
060750354004,060750354005
060750330012,060750329014
060750330012,060750330013
060750330012,060750330021
060750330012,060750353002
060750353002,060750329014
060750353002,060750330012
060750353002,060750353001
060750353002,060750353003
060750353002,060750353005
060750353002,060750353006
060750354001,060750352012
060750354001,060750354002
060750354001,060750354003
060750354001,060750354005
060750354001,060750604002
060750354001,060759901000
060750329014,060750328012
060750329014,060750329013
060750329014,060750330012
060750329014,060750353002
060750329013,060750328013
060750329013,060750329012
060750329013,060750329014
060750329013,060750353001
060750353006,060750351024
060750353006,060750353001
060750353006,060750353002
060750353006,060750353005
060750353006,060750354002
060750353006,060750354004
060750308003,060750308001
060750308003,060750308002
060750308003,060750308004
060750308003,060750309001
060750308003,060750309005
060750308004,060750308001
060750308004,060750308003
060750308004,060750308005
060750308004,060750309006
060750308004,060750330023
060750330022,060750308005
060750330022,060750330013
060750330022,060750330021
060750330022,060750330023
060750308005,060750304001
060750308005,060750304002
060750308005,060750304005
060750308005,060750308001
060750308005,060750308004
060750308005,060750330021
060750308005,060750330022
060750330021,060750308005
060750330021,060750328012
060750330021,060750330012
060750330021,060750330022
060750328012,060750304005
060750328012,060750328011
060750328012,060750328013
060750328012,060750329014
060750328012,060750330021
060750304005,060750304002
060750304005,060750304004
060750304005,060750308005
060750304005,060750328012
060750304004,060750304002
060750304004,060750304003
060750304004,060750304005
060750304004,060750328011
060750328013,060750328011
060750328013,060750328012
060750328013,060750328021
060750328013,060750329012
060750328013,060750329013
060750304002,060750303022
060750304002,060750304001
060750304002,060750304003
060750304002,060750304004
060750304002,060750304005
060750304002,060750308005
060750354002,060750352012
060750354002,060750353006
060750354002,060750354001
060750354002,060750354004
060750329012,060750328013
060750329012,060750329011
060750329012,060750329013
060750329012,060750353001
060750353001,060750329011
060750353001,060750329012
060750353001,060750329013
060750353001,060750329023
060750353001,060750351024
060750353001,060750353002
060750353001,060750353006
060750329011,060750328021
060750329011,060750329012
060750329011,060750329023
060750329011,060750353001
060750329023,060750328021
060750329023,060750329011
060750329023,060750329022
060750329023,060750353001
060750351024,060750329022
060750351024,060750351023
060750351024,060750352011
060750351024,060750352012
060750351024,060750353001
060750351024,060750353006
060750352011,060750351024
060750352011,060750352012
060750352011,060750352015
060750329022,060750328023
060750329022,060750329021
060750329022,060750329023
060750329022,060750351024
060750352015,060750351023
060750352015,060750352011
060750352015,060750352012
060750352015,060750352013
060750351023,060750329021
060750351023,060750351022
060750351023,060750351024
060750351023,060750352015
060750328011,060750303023
060750328011,060750304003
060750328011,060750304004
060750328011,060750328012
060750328011,060750328013
060750328011,060750328021
060750328011,060750328022
060750304003,060750303022
060750304003,060750303023
060750304003,060750304002
060750304003,060750304004
060750304003,060750328011
060750303023,060750303014
060750303023,060750303021
060750303023,060750303022
060750303023,060750304003
060750303023,060750328011
060750303023,060750328022
060750303022,060750303013
060750303022,060750303014
060750303022,060750303023
060750303022,060750304001
060750303022,060750304002
060750303022,060750304003
060750328021,060750328011
060750328021,060750328013
060750328021,060750328022
060750328021,060750328023
060750328021,060750329011
060750328021,060750329023
060750328022,060750303021
060750328022,060750303023
060750328022,060750326023
060750328022,060750328011
060750328022,060750328021
060750328022,060750328023
060750328023,060750326021
060750328023,060750326023
060750328023,060750328021
060750328023,060750328022
060750328023,060750329021
060750328023,060750329022
060750303021,060750303011
060750303021,060750303014
060750303021,060750303023
060750303021,060750328022
060750303013,060750301021
060750303013,060750303012
060750303013,060750303014
060750303013,060750303022
060750303013,060750304001
060750303014,060750303011
060750303014,060750303012
060750303014,060750303013
060750303014,060750303021
060750303014,060750303022
060750303014,060750303023
060750263031,060750263013
060750263031,060750263021
060750263031,060750263022
060750263031,060750263032
060750263031,060750263033
060750263032,060750262021
060750263032,060750262022
060750263032,060750263012
060750263032,060750263013
060750263032,060750263031
060750263032,060750263033
060750263013,060750263012
060750263013,060750263021
060750263013,060750263031
060750263013,060750263032
060750263021,060750263011
060750263021,060750263012
060750263021,060750263013
060750263021,060750263022
060750263021,060750263023
060750263021,060750263031
060750263012,060750261002
060750263012,060750262021
060750263012,060750263011
060750263012,060750263013
060750263012,060750263021
060750263012,060750263032
060750263011,060750260041
060750263011,060750260042
060750263011,060750261002
060750263011,060750263012
060750263011,060750263021
060750263011,060750263023
060750261002,060750260041
060750261002,060750261001
060750261002,060750261003
060750261002,060750261004
060750261002,060750262021
060750261002,060750263011
060750261002,060750263012
060750260041,060750260014
060750260041,060750260042
060750260041,060750261001
060750260041,060750261002
060750260041,060750263011
060750261001,060750255013
060750261001,060750260013
060750261001,060750260014
060750261001,060750260041
060750261001,060750261002
060750261001,060750261004
060750261004,060750255011
060750261004,060750255012
060750261004,060750261001
060750261004,060750261002
060750261004,060750261003
060750261004,060750312022
060750263022,060750263021
060750263022,060750263023
060750263022,060750263031
060750263023,060750260032
060750263023,060750260042
060750263023,060750263011
060750263023,060750263021
060750263023,060750263022
060750263023,060750605021
060750263023,060750605023
060750263023,060759805011
060750260042,060750260014
060750260042,060750260032
060750260042,060750260041
060750260042,060750263011
060750260042,060750263023
060750260032,060750260014
060750260032,060750260031
060750260032,060750260042
060750260032,060750263023
060750260032,060759805011
060750260014,060750260013
060750260014,060750260032
060750260014,060750260041
060750260014,060750260042
060750260014,060750261001
060750260031,060750260011
060750260031,060750260012
060750260031,060750260013
060750260031,060750260022
060750260031,060750260032
060750260031,060759805011
060750260013,060750255013
060750260013,060750260012
060750260013,060750260014
060750260013,060750260031
060750260013,060750261001
060750260012,060750255013
060750260012,060750255022
060750260012,060750260011
060750260012,060750260013
060750260012,060750260031
060750260011,060750255022
060750260011,060750260012
060750260011,060750260021
060750260011,060750260022
060750260011,060750260031
060750260021,060750255021
060750260021,060750255022
060750260021,060750256004
060750260021,060750260011
060750260021,060750260022
060750605023,060750263023
060750605023,060750264041
060750605023,060750605021
060750605023,060750605022
060750605022,060750264041
060750605022,060750605021
060750605022,060750605023
060750605021,060750263023
060750605021,060750264011
060750605021,060750605022
060750605021,060750605023
060750605021,060759805011
060750260022,060750256003
060750260022,060750256004
060750260022,060750260011
060750260022,060750260021
060750260022,060750260031
060750260022,060759805011
060750256003,060750256002
060750256003,060750256004
060750256003,060750259001
060750256003,060750260022
060750256003,060759805011
060750256001,060750254031
060750256001,060750254032
060750256001,060750255023
060750256001,060750256002
060750256001,060750256004
060750256001,060750257011
060750254031,060750218003
060750254031,060750254013
060750254031,060750254032
060750254031,060750255023
060750254031,060750256001
060750254013,060750218002
060750254013,060750254011
060750254013,060750254012
060750254013,060750254031
060750254013,060750254032
060750254011,060750218002
060750254011,060750253002
060750254011,060750253003
060750254011,060750254012
060750254011,060750254013
060750253002,060750252004
060750253002,060750253001
060750253002,060750253003
060750253002,060750254011
060750255011,060750255012
060750255011,060750255013
060750255011,060750261004
060750255013,060750255011
060750255013,060750255012
060750255013,060750255022
060750255013,060750260012
060750255013,060750260013
060750255013,060750261001
060750255012,060750255011
060750255012,060750255013
060750255012,060750255022
060750255012,060750261004
060750255012,060750311002
060750255012,060750311003
060750255022,060750255012
060750255022,060750255013
060750255022,060750255021
060750255022,060750260011
060750255022,060750260012
060750255022,060750260021
060750255022,060750311001
060750255022,060750311002
060750311002,060750255012
060750311002,060750255022
060750311002,060750311001
060750311002,060750311003
060750311002,060750311004
060750311002,060750311005
060750311001,060750217002
060750311001,060750218004
060750311001,060750255021
060750311001,060750255022
060750311001,060750307002
060750311001,060750311002
060750311001,060750311005
060750307002,060750217001
060750307002,060750217002
060750307002,060750307001
060750307002,060750307003
060750307002,060750311001
060750307002,060750311005
060750217002,060750217001
060750217002,060750217003
060750217002,060750218004
060750217002,060750307002
060750217002,060750311001
060750217001,060750204021
060750217001,060750216002
060750217001,060750216003
060750217001,060750217002
060750217001,060750217003
060750217001,060750305003
060750217001,060750306002
060750217001,060750307001
060750217001,060750307002
060750216001,060750213001
060750216001,060750213002
060750216001,060750214002
060750216001,060750215003
060750216001,060750215004
060750216001,060750215005
060750216001,060750216003
060750216001,060750217003
060750256004,060750255021
060750256004,060750255023
060750256004,060750256001
060750256004,060750256003
060750256004,060750260021
060750256004,060750260022
060750255021,060750255022
060750255021,060750255023
060750255021,060750256004
060750255021,060750260021
060750255021,060750311001
060750255023,060750218003
060750255023,060750218004
060750255023,060750254031
060750255023,060750255021
060750255023,060750256001
060750255023,060750256004
060750218004,060750217002
060750218004,060750217003
060750218004,060750218003
060750218004,060750255023
060750218004,060750311001
060750218003,060750217003
060750218003,060750218002
060750218003,060750218004
060750218003,060750254031
060750218003,060750255023
060750218002,060750217003
060750218002,060750218001
060750218002,060750218003
060750218002,060750254011
060750218002,060750254013
060750217003,060750216001
060750217003,060750216003
060750217003,060750217001
060750217003,060750217002
060750217003,060750218001
060750217003,060750218002
060750217003,060750218003
060750217003,060750218004
060750218001,060750215003
060750218001,060750217003
060750218001,060750218002
060750218001,060750253003
060750215003,060750215002
060750215003,060750215004
060750215003,060750216001
060750215003,060750218001
060750215003,060750253003
060750215004,060750215002
060750215004,060750215003
060750215004,060750215005
060750215004,060750216001
060750253003,060750215003
060750253003,060750218001
060750253003,060750253002
060750253003,060750253004
060750253003,060750254011
060750215002,060750215001
060750215002,060750215003
060750215002,060750215004
060750215002,060750215005
060750215002,060750253004
060750253004,060750209003
060750253004,060750210004
060750253004,060750215001
060750253004,060750215002
060750253004,060750252001
060750253004,060750253001
060750253004,060750253003
060750215001,060750210004
060750215001,060750214002
060750215001,060750215002
060750215001,060750215005
060750215001,060750253004
060750210004,060750209003
060750210004,060750210003
060750210004,060750214002
060750210004,060750215001
060750210004,060750253004
060750209003,060750209002
060750209003,060750209004
060750209003,060750210004
060750209003,060750253004
060750210003,060750209004
060750210003,060750210002
060750210003,060750210004
060750210003,060750214001
060750210003,060750214002
060750210002,060750209004
060750210002,060750210001
060750210002,060750210003
060750210002,060750211002
060750209004,060750208013
060750209004,060750209001
060750209004,060750209003
060750209004,060750210001
060750209004,060750210002
060750209004,060750210003
060750210001,060750207011
060750210001,060750209004
060750210001,060750210002
060750210001,060750211001
060750216003,060750213002
060750216003,060750216001
060750216003,060750216002
060750216003,060750217001
060750216003,060750217003
060750216002,060750204021
060750216002,060750213002
060750216002,060750216003
060750216002,060750217001
060750213002,060750204021
060750213002,060750204024
060750213002,060750212002
060750213002,060750213001
060750213002,060750216001
060750213002,060750216002
060750213002,060750216003
060750213001,060750212002
060750213001,060750213002
060750213001,060750214002
060750213001,060750214003
060750213001,060750216001
060750212002,060750204023
060750212002,060750204024
060750212002,060750211003
060750212002,060750212001
060750212002,060750212003
060750212002,060750213001
060750212002,060750213002
060750204024,060750204012
060750204024,060750204021
060750204024,060750204022
060750204024,060750204023
060750204024,060750212002
060750204024,060750213002
060750212003,060750204023
060750212003,060750205003
060750212003,060750212001
060750212003,060750212002
060750212001,060750205003
060750212001,060750211003
060750212001,060750211004
060750212001,060750212002
060750212001,060750212003
060750204023,060750204011
060750204023,060750204013
060750204023,060750204024
060750204023,060750205003
060750204023,060750212002
060750204023,060750212003
060750205003,060750204023
060750205003,060750205002
060750205003,060750206022
060750205003,060750212001
060750205003,060750212003
060750215005,060750214002
060750215005,060750215001
060750215005,060750215002
060750215005,060750215004
060750215005,060750216001
060750214002,060750210003
060750214002,060750210004
060750214002,060750213001
060750214002,060750214001
060750214002,060750214003
060750214002,060750215001
060750214002,060750215005
060750214002,060750216001
